ds,0
2019-10-08,17659.362061403506
2019-10-09,17657.221173245616
2019-10-10,17535.11951260965
2019-10-11,17481.728558415572
2019-10-12,17585.913231950388
2019-10-15,17445.654288284746
2019-10-16,17526.654107962142
2019-10-17,17717.79383090411
2019-10-18,17790.830013677383
2019-10-19,17553.82458453669
2019-10-22,17678.454190956512
2019-10-23,17835.130409276266
2019-10-24,17764.930789389196
2019-10-25,17836.06066219199
2019-10-26,17857.9334321437
2019-10-29,18029.666507259655
2019-10-30,18089.71320981562
2019-10-31,18148.294484341488
2019-11-01,18068.51841908488
2019-11-02,17881.958594425087
2019-11-05,17930.940953970898
2019-11-06,17695.20345123085
2019-11-07,17719.21681951607
2019-11-08,17892.706772580696
2019-11-09,17978.664893815272
2019-11-12,17718.06497690851
2019-11-13,17870.318406076545
2019-11-14,17821.675524491035
2019-11-15,18140.698337240556
2019-11-16,18139.2700428924
2019-11-19,18031.7765263365
2019-11-20,18174.78694135111
2019-11-21,18274.570645147836
2019-11-22,18242.92215547963
2019-11-23,18078.77071260015
2019-11-26,18163.69371697385
2019-11-27,18133.719200266576
2019-11-28,17936.60283312246
2019-11-29,18157.805969859754
2019-11-30,18137.826268451132
2019-12-03,18066.633687240155
2019-12-04,17970.614376535195
2019-12-05,17884.144791221464
2019-12-06,18200.30522489445
2019-12-07,17928.523086106634
2019-12-10,17914.312048352775
2019-12-11,18039.09786683727
2019-12-12,18159.08376969987
2019-12-13,18182.287076697157
2019-12-14,18231.61388209104
2019-12-17,18436.425152998334
2019-12-18,18429.731268541957
2019-12-19,18028.280897182198
2019-12-20,17919.386585222514
2019-12-21,17788.18436811317
2019-12-24,17831.71952457303
2019-12-25,17947.826955303863
2019-12-26,17926.32664130134
2019-12-27,17884.679936973444
2019-12-28,18226.985258136145
2019-12-31,18174.8105321818
2020-01-01,18325.031435832392
2020-01-02,18355.06544669199
2020-01-03,18392.95029525499
2020-01-04,18401.563250527404
2020-01-07,18399.582583309846
2020-01-08,18423.398741636647
2020-01-09,18442.613785376616
2020-01-10,18475.041601949924
2020-01-11,18503.302793124843
2020-01-14,18498.01750183443
2020-01-15,18515.49711927623
2020-01-16,18519.785411812947
2020-01-17,18544.36063754449
2020-01-18,18516.506269985148
2020-01-21,18602.250873850677
2020-01-22,18670.408581665433
2020-01-23,18704.243364737897
2020-01-24,18782.167709681657
2020-01-25,19017.450870246892
2020-01-28,19186.93007190506
2020-01-29,18410.964996259645
2020-01-30,18564.519130421362
2020-01-31,18573.377998818352
2020-02-01,18633.906182242135
2020-02-04,18871.486925319103
2020-02-05,18762.167449437107
2020-02-06,18827.286586581515
2020-02-07,18911.56825295755
2020-02-08,18836.58712936758
2020-02-11,18763.97371460077
2020-02-12,18379.064069098735
2020-02-13,18721.830135888104
2020-02-14,18785.29947735502
2020-02-15,18810.629094784148
2020-02-18,18843.186771111818
2020-02-19,19105.28488176435
2020-02-20,19087.03374062894
2020-02-21,19251.63729451121
2020-02-22,19320.746300068477
2020-02-25,19410.2310276999
2020-02-26,19308.46471584052
2020-02-27,19262.785754451146
2020-02-28,19025.174962845616
2020-03-01,18984.194635608386
2020-03-04,18897.15949687319
2020-03-05,19479.10847632809
2020-03-06,19371.205089076153
2020-03-07,19428.136979113162
2020-03-08,19383.558836473578
2020-03-11,19514.564000776245
2020-03-12,20065.67070806747
2020-03-13,19847.04687334924
2020-03-14,19697.428762853873
2020-03-15,19411.690928883203
2020-03-18,19615.31902058816
2020-03-19,19476.751071658473
2020-03-20,19579.411223258434
2020-03-21,19711.30268510921
2020-03-22,19636.144726568935
2020-03-25,19705.797761929047
2020-03-26,19731.740353026464
2020-03-27,19477.178476991026
2020-03-28,19390.702937679423
2020-03-29,19264.21661712287
2020-04-01,18793.603681110875
2020-04-02,18701.74847804206
2020-04-03,18970.532451811967
2020-04-04,19182.936100650513
2020-04-05,19952.25566199054
2020-04-08,20244.888968178664
2020-04-09,19997.08043584703
2020-04-10,20614.583597674606
2020-04-11,20543.05275845228
2020-04-12,20315.68790560062
2020-04-15,20242.4671404014
2020-04-16,20208.35349376049
2020-04-17,20401.784053462085
2020-04-18,20142.073528305595
2020-04-19,20590.213386254887
2020-04-22,20585.001468361992
2020-04-23,20456.221083508204
2020-04-24,20604.461128804218
2020-04-25,20633.57548069312
2020-04-26,20513.516256966614
2020-04-29,20403.551414397396
2020-04-30,20446.70055544769
2020-05-01,20510.251010195156
2020-05-02,20768.276192500285
2020-05-03,20440.727407619088
2020-05-06,20635.71086332157
2020-05-07,20556.315773868188
2020-05-08,20660.57161971661
2020-05-09,20628.5666348538
2020-05-10,20531.09759183177
2020-05-13,20555.56719895035
2020-05-14,20712.17878082516
2020-05-15,20662.960176757344
2020-05-16,21092.432579413336
2020-05-17,20891.218733723108
2020-05-20,20498.645755482485
2020-05-21,20784.631040013952
2020-05-22,21062.894739593627
2020-05-23,20723.265323641866
2020-05-24,20905.678324561235
2020-05-27,20773.12063846728
2020-05-28,20582.80041546025
2020-05-29,20637.61461898719
2020-05-30,20929.595518725037
2020-05-31,20467.07135345733
2020-06-03,20616.04995425801
2020-06-04,21235.00265441887
2020-06-05,21149.959366867457
2020-06-06,21000.57020159342
2020-06-07,21180.84143256198
2020-06-10,21198.45472108972
2020-06-11,21103.36093930195
2020-06-12,21172.38868757667
2020-06-13,21254.470639433424
2020-06-14,21213.82802489057
2020-06-17,21007.479322782274
2020-06-18,20980.59775553323
2020-06-19,21308.941924642528
2020-06-20,21024.480248807253
2020-06-21,21156.12060032868
2020-06-24,21064.113328152136
2020-06-25,21122.311208250416
2020-06-26,21338.296835609224
2020-06-27,21189.14520082629
2020-06-28,21408.91325510679
2020-07-01,21188.68254317172
2020-07-02,21266.242681389336
2020-07-03,21317.720691509792
2020-07-04,21214.784415636645
2020-07-05,20998.944468444068
2020-07-08,21515.263436027642
2020-07-09,21266.075143704362
2020-07-10,21193.702959187638
2020-07-11,21326.522839434852
2020-07-12,21424.147379259488
2020-07-15,21392.5949259253
2020-07-16,21337.943030643855
2020-07-17,20377.88924176781
2020-07-18,20449.152616396004
2020-07-19,19522.993910214038
2020-07-22,19760.249637111818
2020-07-23,19821.31544378787
2020-07-24,19892.329252055973
2020-07-25,19972.501267615153
2020-07-26,20298.35393937565
2020-07-29,20633.197684115406
2020-07-30,20694.14186221522
2020-07-31,20540.167961607392
2020-08-01,20553.469491778942
2020-08-02,20212.458789445707
2020-08-05,20276.32178619754
2020-08-06,20075.986107214805
2020-08-07,19766.089988723663
2020-08-08,19699.90100686713
2020-08-09,19756.63877488787
2020-08-12,19599.524967476307
2020-08-13,19318.879144992454
2020-08-14,19173.903362990583
2020-08-15,19012.8602094026
2020-08-16,18664.51664168451
2020-08-19,19241.393216854525
2020-08-20,19225.971229174997
2020-08-21,19234.15730791803
2020-08-22,19207.347175623414
2020-08-23,19573.02148856769
2020-08-26,19870.272848483426
2020-08-27,19776.06608038604
2020-08-28,19837.278957961247
2020-08-29,19772.516963919294
2020-08-30,19153.872626999997
2020-09-02,19217.899678526832
2020-09-03,19218.804011739787
2020-09-04,19403.098196439718
2020-09-05,19044.415931386928
2020-09-06,19252.313826735728
2020-09-09,19339.400210907068
2020-09-10,19170.63015728913
2020-09-11,18930.716392114493
2020-09-12,18882.991254097
2020-09-13,18607.499122121197
2020-09-16,18760.732456669342
2020-09-17,18328.79876076535
2020-09-18,18231.83399699399
2020-09-19,18542.81059460568
2020-09-20,18912.70701116883
2020-09-23,19052.76014694801
2020-09-24,19167.893064502816
2020-09-25,18733.654150550763
2020-09-26,18943.21150667146
2020-09-27,17802.999084686264
2020-09-30,17717.439618096894
2020-10-01,17551.949290513996
2020-10-02,17810.036817610602
2020-10-03,17936.915546914763
2020-10-04,18168.1782469894
2020-10-07,17972.229362738923
